id,category,title,body
77,consommer,L'autoconsommation solaire,"Bonjour, inciter les grd surfaces à prendre exemple du magasin de Sisteron (04) qui  a investi dans des ombrières solaires, installées sur le parking du supermarché. Ce qui a permis de produire en moyenne 40% des besoins énergétiques. 
Inciter toutes les entreprises à s équiper de panneaux solaires, afin d utiliser toute la surface disponible et tendre vers tjrs plus d autonomie énergétique, au lieu d en installer dans des champs qui pourraient servir pour l agriculture.
Bon courage"
3930,consommer,"Instaurer un indicateur ""CO2 Score""","Introduire un indicateur sur le bilan carbone des produits à l'achat, mais aussi des services , sur le modèle du nutriscore. Ces indicateurs devraient permettre au citoyen de choisir ""rapidement "" vers quel produit ou service s'orienter."
50,consommer,Réglementer les tarifs des assurances auto,"Priorité à la réduction directe de consommation de pétrole : 
Pour contrecarrer la tendance à l'augmentation de la puissance des voitures en circulation, les primes d'assurances doivent être modulées en fonction de la consommation de carburant et des émissions de CO2 du véhicule. 
Ceci doit être réalisé uniformément par tous les assureurs, pour éviter les risques de fuite des grosses cylindrées vers la concurrence lorsqu'un assureur seul adopterait ce comportement vertueux. 
Une réglementation nationale doit donc fixer une modulation obligatoire des primes d'assurances selon ce critère, semblable au bonus-malus à l'achat, mais qui se répercutera chaque année et non pas juste initialement à l'achat du véhicule. Chaque assureur restera libre de fixer le montant de référence de ses primes, mais devra respecter la modulation nationale selon l'impact climatique du véhicule. 
Cette modulation doit être dissuasive pour les forts émetteurs, et doit favoriser les petites cylindrées économes par un bonus. 
Ceci devrait influencer positivement et rapidement les choix des clients du marché auto dès l'acte d'achat, et également le marché de l'occasion."
22,consommer,Comptabilité verte et Surveillance accrue,"Bjr,
Je pense à :
Suppression de la publicité des lieux et médias publics.
Campagne d’information publique intensive sur le problème liés aux chaînes logistiques, aux circuit longs…
Gestion des déchets =>obliger les communes et CC à imposer un autre mode de traitement.
Interdiction du plastique dans les emballages.
Mise en place de la consigne obligatoire pour les bouteilles.
S’assurer que les agriculteurs français sont rémunérés correctement.
Vente en vrac alimentaire obligatoire.
Supprimer la déclaration des revenus générés par la vente de produit d’occasion.
Revoir le PCG, déduction de tva, etc... valoriser le plan d’amortissement des entreprises qui achètent des produits en circuit court.
Audit annuel des E sur leur engagement Dev.Dur 
Commande publique : L’audit dev. durable doit être produit lors de la réponse au AO.
TVA différenciée : produit de 1ere nécessité/produit alimentaire à circuit court/produit technologique/produit de luxe.
Droit de rétractation des achats réalisés sur des sites étrangers ramené à 5j. 
Déclaration et taxes sur les achats de neuf sur Internet. 
Augm. du tx d'intérêt des prêt à la conso.
Obligation d'étiquetage des produits => ajout d’une dimension Impact carbone, Contrôler les mentions trompeuses ""Fait maison"" - ""Cuit sur place"" etc 
Clarification des labels et communication large public.
Encourager l’utilisation de monnaie locale."
79,consommer,Fenêtres solaires ,"Création d'une norme sur la construction immobilière, pour que les fenêtres soient des panneaux solaires transparents. Ainsi cela réduire les émissions de polluants, augmentera l'auto-suffisance des habitations, améliorera la consommation énergétique, ..."
39,consommer,Réduire la publicité,"Notre société de consommation doit changer de paradigme : de ""consommer plus"" il faut passer à ""consommer mieux, voire consommer moins"".

Le pouvoir d'achat des français doit s'orienter autrement et on peut agir en amont sur les fabricants (français mais aussi les importations) et en aval sur les taxes, l'information aux consommateurs...

La première chose serait de réduire l'affichage des publicités dans les rues, les magazines, la télé... 

Pas simple, car elles financent l'audiovisuel et un certain journalisme (dt on peut se passer)."
154,consommer,"Obsolescence programmée, surconsommation ","Obliger les industriels à garantir leurs produits 7 ans ou plus et que leurs réparations soit prévu lors de la conception afin de limiter l'obsolescence programmée. 

Limiter le nombre de collection annuelle pour les magasins de prêt à porter et d'ameublement."
8,consommer,La monnaie Carbone,"La monnaie Carbone serait une nouvelle forme de devise indépendante de l’euro. Cette nouvelle devise ne se substituerait pas à l’euro mais donnerait une valeur en carbone à chaque produit et service vendu en France.	
Ex : 1 kg de tomates coûterait 1,5€ plus une somme X en Carbone.

Le montant carbone attribué à chaque produit ou service serait calculé en fonction de son coût environnemental. Plus un bien ou service générerait une émission de gaz à effet de serre (confection, transport, consommation...) plus son prix carbone serait élevé. 	

Chaque personne se verrait recevoir de manière égale, un nombre limité de Carbone chaque année afin d’atteindre des objectifs ambitieux en matière d’écologie. Si un citoyen venait à dépenser tous ses Carbones au cours de l’année, il pourrait être alors possible les premières années d’acheter des carbones via le paiement d’un montant (assez élevé) en €. Ce système d’achat de Carbone ne serait que temporaire afin de ne pas brusquer les gens. Passé ce délai, les citoyens serraient dans l’obligation de respecter le quota Carbone annuel.	

Enfin, le montant Carbone versé chaque 1er Janvier aux citoyens serait réduit au fur et à mesure des années.
Une autre manière de recevoir des carbones serait d’acquérir un bien, d’utiliser un service, de participer à une activité, ou bien de financer une action ayant une consommation négative de gaz à effet de serre.

(Si besoin j'ai un doc plus complet que je peux envoyer par mail.)"
109,consommer,Garantie d'un prix maximum sur les denrées alimentaires de base,"La garantie par l'état d'un prix maximum sur les denrées alimentaires de base (eau, blé, oeufs, lait, pain, graines, fruits), afin que celui-ci soit indépendant des conditions climatiques (et donc de la spéculation).
Celà amènera à :  
- éviter à nos agriculteurs de sur-produire pour baisser les prix (et donc plus moissonner (CO2), augmenter la taille des fermes laitières (méthane), augmenter la taille des plantations fruitières (CO2)...)
- consommer davantage d'eau du robinet, et donc baisser d'autant la production de CO2 par le transport de l'eau en bouteille
- baissera d'autant les émissions de CO2 liées aux flux de la supply chain au global (pas de sur-production pour faire baisser les prix)
- et enfin celà baissera la quantité de gaz dû à la fermentation des stocks (liste des effets non exhaustive)."
206,consommer,Cleanwalks scolaires,"En plus de nettoyer directement les rues et espaces verts, cela sensibiliserait chacun, inciterait à moins jeter ses papiers / mégots par terre et revaloriserait les métiers de la propreté dans l'imaginaire collectif.
Ainsi, il serait intéressant de demander aux écoles, collèges, lycées et universités de faire un jour ou une après-midi réservée à une cleanwalk obligatoire une fois par mois, trimestre ou semestre (en fonction du niveau scolaire des élèves : En CM2, on a plus de temps pour en faire qu'au lycée).

(Je sais que ce n'est pas dans la consommation mais je ne pouvais pas en mettre un deuxième dans ""transversal"")"
95,consommer,Inversion charge recyclable et traitement déchet ,"Au lieu de faire porter sur collectivité la charge du recyclage et traitement déchet,integrer dans le coût de chaque produit et services le coût ou à défaut taxe lié au traitement fin de vie. Objectif créer un signal prix vertueuxau niveau consommation. Dans la même idée adjoindre un signal prix sur étiquettes énergétiques"
43,consommer,Indiquer l'empreinte carbone sur chaque produit,"Indiquer l'empreinte carbone/environnementale sur chaque produit grâce à un code couleur par exemple, en prenant en compte toutes les émissions engendrées par le produit/ l'entreprise le produisant. 
Cela permettrait de guider les choix des consommateurs et d'encourager certaines entreprises à diminuer leurs émissions."
63,consommer,"Sortir du CETA et du MERCOSUR, taxer le Soja importé","Le CETA et le MERCOSUR sont deux accords de libre-échanges commercial, avec le Canada et le Brésil respectivement. 

Ces deux accords encouragent le commerce international, beaucoup plus polluant que la production locale. Les agriculteurs craignent de voir des produits importés sur les marchés Français, ce qui rendrait notre assiette très émettrice de CO2. 

La Convention devrait proposer que la France sorte, unilatéralement si besoin, de ces deux traités (d'ailleurs le Mercosur n'est pas signé, il est encore en négociation). 

De plus, la Convention devrait proposer de taxer le soja importé hors d'Europe. Le but est de décourager l’importation de soja pour nourrir les troupeaux, et d'inciter au développement de l’élevage paysan, nourrissant les troupeaux à partir d’herbes et de foin locaux et élevant les bêtes en plein air.

Les Français pourront alors manger sans craindre de participer indirectement à la déforestation de l'Amazonie."
85,consommer,Réparer au lieu de jeter avec l interoperabilite des pièces détachées ,"Bonjour 
L idée est d imposer aux industriel une convergence des normes des pièces utilisées en imposant au fur et à mesure la définition de produits de réparation utilisable sur différents modèles et également sur différents producteurs. Ainsi les pièces détachées seraient plus faciles à obtenir et cela rendrait illégal les tentatives des industriels de rendre certaines pièces rapidement inutilisables sans possibilités de les changer rapidement (comme les batteries de certains téléphones ou encore éviter d avoir 50 types de chargeurs par exemple)."
